question,lecture_key,answer_timestamps,answer_text,question_type
What is active transport?,anat-1/AnatomyPhysiology/01,31.2-39.8 | 49.3-56.0,"Active transport is the movement of substances into or out of a cell that utilize energy or ATP",definition
What is the resting membrane potential?,anat-1/AnatomyPhysiology/01,1369.5-1380.5,"The resting membrane potential is the difference in electrical charge between the outside and inside of a plasma membrane. The inside of a cell is usually more negative than the outside. The membrane voltages can range from -50 to -100 mV in varying cells.",definition 
What is pinocytosis?,anat-1/AnatomyPhysiology/01,1002.2-1009.7 | 1016.5-1021.3,"Pinocytosis is a type of endocytosis often called "cell drinking" that brings extracellular fluid and dissolved solutes inside the cell.",definition
How does the primary active transport move solutes across the membrane?,anat-1/AnatomyPhysiology/01,175.3-189.4,"In primary active transport, ATP is hydrolyzed and the released energy changes the shape of a tranposrt protein resulting in the solutes bounded to that protein to be pumped across the membrane.",mechanism
What are the two types of active membrane transport processes discussed in this lecture?,anat-1/AnatomyPhysiology/01,41.5-49.1, "The two major active membrane transport processes discussed in this lecture are active transport and vesicular transport.", classification
What are the three types of endocytosis and describe their functions,anat-1/AnatomyPhysiology/01,677.9-683.0 | 1002.2 - 1021.3 | 1086.5-1107.9,"The three types of endocytosis are phagocytosis, pinocytosis, and receptor-mediated endocytosis. Phagocytosis englufs solid particles into a vesicle called a phagosome. Pinocytosis brings extracellular fluid and dissolved solutes into the cell. Receptor-mediated endocytosis selectively brings specific molecules into the cell after they bind to membrane receptors",classification
Why is energy required during active transport?,anat-1/AnatomyPhysiology/01,137.9-147.7 | 148.2-150.4,"Energy, or ATP, is required during active transport because the solutes are being moved against their concentration gradients, from areas of low concentration to areas of high concentration",cause_effect
What does the sodium-pottasium pump do?,anat-1/AnatomyPhysiology/01,202.0-213.1 | 289.1-301.3,"The sodium-pottasium pump is essentially an enzyme that maintains electrochemical gradient involving both ion concentration and electrical charge which is essential for muscles and nerves to function properly",function,
What are the main steps of exocytosis?,anat-1/AnatomyPhysiology/01,1186.9-1194.6 | 1287.1-1334.5,"A vesicle that carries a v-SNARE finds a matching t-SNARE on the membrane, the proteins bind and help the vesicle and plasma membrane fuse. This causes a pore to open and the vesicle releases its contents outside the cell.",process
What is the main idea of vesicular transport?,anat-1/AnatomyPhysiology/01,647.5-1178.8,"Vesicular transport moves large molecules, particles, and fluids across membranes in vesicles, including processes such as endocytosis, exocytosis, transcytorsis, and vesicular trafficking",summary
How can I request a exam review for this chapter,anat-1/AnatomyPhysiology/01,15.2-23.4,"Students can request an exam review by sending an email or leaving a comment.",logistics
What should I watch next?,anat-1/AnatomyPhysiology/01,1696.7-1709.2,"This lecture ends with Part B of Chapter 3. The next lecture is Part C, which will be posted within the next 24 hours.",course_specific
What is learning?,psy-1/LectureSeriesForIntrotoPsy-PSY101,43.0-47.1,"Learning is defined as a relatively permanent change in behavior due to experience.",definition
What is a phobia and how is it different from a fear?,psy-1/LectureSeriesForIntrotoPsy-PSY101, 869.7-875.1 | 903.3-914.1 | 1125.7-1145.7, "A phobia is an unrealistic fear that exists specifically when there is no danger. Ordinary fear stems from a sense of realism and protection. But, a phobia can occur when a person knows that the fear is unrealistic resulting in a strong reaction.",definition
What was the example given about learning from experience?,psy-1/LectureSeriesForIntrotoPsy-PSY101,51.0-84.0,"The example was a child learning not to touch a hot stove. Initially, the child just being told that the stove is hot does not change their behavior, but after touching the stove and feeling the heat, the child learns from that expeirence not to touch the stove again. Clearly, identiyfing tht learning is a relatively permanent change in behavior caused by experience",mechanism
How does extinction happen in classical condition?,psy-1/LectureSeriesForIntrotoPsy-PSY101,779.8-808.0,"Extinction occurs when a conditioned stimulus is presented without the unconditioned stimulus enough so that the learned connection slowly fades over time resulting in the conditioned response to fade as well.",mechanism
Why did Pavlov's dogs begin drooling before receiving food?,psy-1/LectureSeriesForIntrotoPsy-PSY101,416.0-459.5,"Pavlov's dogs began drooling before receiving food because they learned to associate the actions of presenting food or leading them to the feeding area with the action of eating. This learned association was what triggered the drooling before the food was even given to them.",cause_effect
What function do secondary reinforcers serve?,psy-1/LectureSeriesForIntrotoPsy-PSY101,2883.5- 2893.0 | 2913.0-2937.1 | 3056.2-3081.8,"A secondary reinforcer, like a gold star or money, function as tokens that can be used in exchange for primary reinforcers. These secondary reinforcers indicate accessibility to primary reinforcers like food, water, sex, pleasure, etc.",function
What do consequences do in operant conditoning?,psy-1/LectureSeriesForIntrotoPsy-PSY101,242.4-249.6 | 1438.1-1449.7 | 1523.3-1535.9,"The key function of consequences in operant conditioning is that they guide future behavior. After a behvaior occurs, the consequence changes the likelihood of the behavior occuring again.",function
What are all the differences between classical and operant conditioning?,psy-1/LectureSeriesForIntrotoPsy-PSY101,232.2-252.9 | 261.1-283.6 | 284.7-310.1 | 1436.0-1449.7,"Classical and operant conditioning both focus on events and behaviors. Classical conditioning focuses on events that occur before behaviors depending on reflexive or automatic responses. On the other hand, operant conditioning focuses on behavior due to consequence, where the consequences affect whether or not that behavior will occur again.",summary
Will these videos be on an exam?,psy-1/LectureSeriesForIntrotoPsy-PSY101,22.3-29.5,"No the videos are not required for the exam. These videos are used to help students see the material in a different way and help understand the reccuring concepts.",logistics,
Why does the bell make the dog drool?,psy-1/LectureSeriesForIntrotoPsy-PSY101,562.4-580.4 | 582.5-600.5 | 615.4-632.2 | 650.7-662.3,"The bell is a neutral stimulus which is paired with food. After repeated exposure the dog learns to associate the bell with food, making the dog drool once it hears just the sound of the bell becoming a conditioned stimulus.",process
What should I do if I have a question?,psy-1/LectureSeriesForIntrotoPsy-PSY101,3090.7-3097.0,"Students are encouraged to reach out to the instructor by email before the next class meeting.",course_specifics

What's a hypothesis?,bio-3/Biol1020,359.8-368.9 | 379.0-386.3,"A hypothesis is a proposed explanation for specific observations. They are often described as 'scientific guesses' formed by using logic and scientific reasoning.",definition
Can you define correlation?,bio-3/Biol1020,2719.0-2725.8,"A correlation is any relationship between two factors or between two variables.",definition
Why don't we just have a cure for the common cold by now?,bio-3/Biol1020,1841.8-1900.4 | 4087.2-4101.6,"More than 200 different viruses are known to cause the common cold. With so many different viral causes, creating a single cure or vaccine is very unlikely in the near future and scientistis are more focused on prevention.",cause_effect
What are we supposed to do with the learning outcomes while going through all this?,bio-3/Biol1020,163.6-179.2,"Students are expected to pause and review the learning outcomes, then recognize them as they come up while going through the notes, lecture, and chapter reading.",course_specific
So overall what counts as good science?,bio-3/Biol1020,4034.1-4066.5,"Good science follows the scientific method and uses hypotheses that can be tested and produce repeatable results. It is peer reviewed, published for others to examine, and stays open to change when new evidence and new discoveries become available.",summary

What's the difference from noticing something to testing it scientifically?,bio-3/Biol1020,344.0-356.2 | 391.5-405.1,"The process begins with observations, which lead to questions. Scientists then propose hypotheses, test those ideas, and discard or modify them based on the results.",mechanism


What does 'theory' actually mean?,bio-3/Biol1020,656.2-678.1 | 895.9-907.8,"A scientific theory is a broad explanation for many related observations. It is built from well-supported hypotheses, has stood the test of time, and is supported by multiple independent lines of research.",definition
How does a virus even spread in your body?,bio-3/Biol1020,1684.2-1692.1 | 1697.2-1701.9 | 1710.6-1743.6,"A virus usually contains genetic material inside a protein coat. It enters a host cell or gets its genetic material into the cell, becomes part of the host cell's machinery, and causes the cell to make viral proteins and new viruses. Those viruses are then released to infect other cells in the body.",mechanism
Why is your body usually better the second time you get exposed?,bio-3/Biol1020,1796.2-1824.4,"After recovery from a virus infection, the immune system retains cells that recognize that virus's proteins. If the virus enters again, the body can recognize it much faster and launch an immune attack before the infection becomes noticeable. That faster recognition and response is immunity.",mechanism
What are the two kinds of data and whats the differences?,bio-3/Biol1020,1937.2-1955.8 | 1957.3-1971.6 | 1973.3-1982.5,"The two main kinds of data described are qualitative and quantitative data. Qualitative data consist of descriptive observations rather than measurements, while quantitative data consist of numbers that are often organized into graphs and tables.",classification
What organisms do scientists usually test stuff on if they can't test humans?,bio-3/Biol1020,2693.8-2717.0,"Suggested model organisms include bacteria, fruit flies, nematodes, other mammals such as rodents, dogs, and pigs, and even human cells. They are used when direct testing on humans would be impractical or unethical.",classification
