system,kind,approach,retrieval_source,embedding_model,rerank_model,initial_top_k,final_top_n,baseline_chunk_strategy,baseline_chunk_size_tokens,baseline_overlap_percent,question_count,skipped_count,recall@1,recall@3,recall@5,mean_temporal_distance@1,mean_temporal_distance@3,mean_temporal_distance@5,max_iou@1,max_iou@3,max_iou@5,ndcg@1,ndcg@3,ndcg@5
treeseg__leaf,leaf,TreeSeg leaf,transcript_only,BAAI/bge-m3,cross-encoder/ms-marco-MiniLM-L-6-v2,50,5,,,,38,0,0.7368421052631579,0.9473684210526315,1.0,245.46052631578948,436.91842105263163,531.8173684210527,0.12775127202572742,0.17080732871350213,0.1766402064026155,0.7021176128727615,0.8058610754322013,0.8432855018431559
treeseg__summary_tree,summary_tree,TreeSeg summary_tree,transcript_only,BAAI/bge-m3,cross-encoder/ms-marco-MiniLM-L-6-v2,50,5,,,,38,0,0.7894736842105263,0.9473684210526315,1.0,146.10789473684213,450.59298245614036,570.8605263157895,0.10490863066597556,0.12413995471482187,0.13371858094299277,0.5690846519050953,0.44312052840362837,0.4218443983654475
baseline__utterance_packed__128tok__ov0__transcript_only,baseline,Baseline utterance_packed 128tok overlap 0%,transcript_only,BAAI/bge-m3,cross-encoder/ms-marco-MiniLM-L-6-v2,50,5,utterance_packed,128,0,38,0,0.7631578947368421,0.9210526315789473,0.9473684210526315,131.60263157894735,358.5754385964912,458.67578947368423,0.2646379931012197,0.38667738001244906,0.39811703287204,0.6425739143588834,0.7372191993024542,0.7687577344359089
baseline__utterance_packed__128tok__ov10__transcript_only,baseline,Baseline utterance_packed 128tok overlap 10%,transcript_only,BAAI/bge-m3,cross-encoder/ms-marco-MiniLM-L-6-v2,50,5,utterance_packed,128,10,38,0,0.7368421052631579,0.9473684210526315,0.9736842105263158,83.78947368421052,260.17543859649123,330.5984210526316,0.24621288523506973,0.3825507627675963,0.4138254228990402,0.5968160296966719,0.6637312071299358,0.7249396365514783
baseline__utterance_packed__256tok__ov0__transcript_only,baseline,Baseline utterance_packed 256tok overlap 0%,transcript_only,BAAI/bge-m3,cross-encoder/ms-marco-MiniLM-L-6-v2,50,5,utterance_packed,256,0,38,0,0.7368421052631579,0.9210526315789473,0.9473684210526315,202.37631578947367,359.9342105263158,517.5536842105263,0.18438370313054578,0.24385312957283367,0.24598476081756618,0.6944815408434848,0.7910691704510459,0.8071281628321014
baseline__utterance_packed__256tok__ov10__transcript_only,baseline,Baseline utterance_packed 256tok overlap 10%,transcript_only,BAAI/bge-m3,cross-encoder/ms-marco-MiniLM-L-6-v2,50,5,utterance_packed,256,10,38,0,0.8421052631578947,0.9473684210526315,0.9736842105263158,84.5578947368421,261.8070175438596,416.6357894736842,0.18663014678305276,0.24854332913430452,0.2518344376431397,0.7096545183605221,0.7791251284544417,0.8022685523402313
baseline__utterance_packed__512tok__ov0__transcript_only,baseline,Baseline utterance_packed 512tok overlap 0%,transcript_only,BAAI/bge-m3,cross-encoder/ms-marco-MiniLM-L-6-v2,50,5,utterance_packed,512,0,38,0,0.6842105263157895,0.9210526315789473,0.9736842105263158,153.32105263157897,503.3078947368421,597.9763157894737,0.08787434508560583,0.11794652858432347,0.12011063864557388,0.6729323308270677,0.7968035250061126,0.8255560801881717
baseline__utterance_packed__512tok__ov10__transcript_only,baseline,Baseline utterance_packed 512tok overlap 10%,transcript_only,BAAI/bge-m3,cross-encoder/ms-marco-MiniLM-L-6-v2,50,5,utterance_packed,512,10,38,0,0.6842105263157895,1.0,1.0,186.07631578947365,387.6482456140351,533.8,0.07817755567227375,0.12119915302875531,0.13464112285415525,0.5804941274755516,0.732592247894125,0.7688655774460466
baseline__raw_token_window__128tok__ov0__transcript_only,baseline,Baseline raw_token_window 128tok overlap 0%,transcript_only,BAAI/bge-m3,cross-encoder/ms-marco-MiniLM-L-6-v2,50,5,raw_token_window,128,0,38,0,0.7368421052631579,0.9473684210526315,1.0,180.38684210526316,358.2412280701754,468.89,0.19572042348677904,0.28855301562458613,0.3140055650185585,0.6347575865962293,0.7159847660048243,0.7688137394016253
baseline__raw_token_window__128tok__ov10__transcript_only,baseline,Baseline raw_token_window 128tok overlap 10%,transcript_only,BAAI/bge-m3,cross-encoder/ms-marco-MiniLM-L-6-v2,50,5,raw_token_window,128,10,38,0,0.7368421052631579,0.9736842105263158,1.0,89.24473684210525,315.68245614035084,430.5294736842105,0.18536348249727452,0.2976633743145053,0.3426066730645906,0.5330106556343762,0.6532179373780567,0.7186637854224497
